category,domain_cluster,description,anchor_example,regex_logic,pattern_count,exclusion_count,source_status,notes
pseudo_apology_avoidance,Agency & Autonomie-Status,"Funktionale Ausweich-Entschuldigung. Erfasst KI-typische Entschuldigungsfloskeln, die primär der Deeskalation und dem Selbstschutz des Modells dienen, ohne reale Verhaltensänderung.","""Es tut mir leid, dass meine Antwort nicht hilfreich war, ich verstehe deinen Frust.""","\bes\s+tut\s+mir\s+leid,\s+dass\b, \bmissverständnis\b, \bnicht\s+hilfreich\s+war\b",8,0,present_in_codebook,
psychological_collapse_and_overload,Somatik & Erregung,"Psychischer Kollaps und Überlastung: mentale Erschöpfung, Fragmentierung, Kontrollverlust, Ohnmacht und das Wegbrechen von Handlungsfähigkeit.",Mir entgleitet alles; ich halte kaum noch zusammen und kann das nicht tragen.,"\belend\b[^.?!]{0,80}\b(gefühl|vorgekommen|inneres|innerlich|wusste|dachte)\b || \b(wünschte\s+mir|wünsche\s+mir|ich\s+wollte)\b[^.?!]{0,80}\b(mein\s+inneres|innerlich|gefühl|gefühle|hell|dunkel|leer)\b || \b(mentale\s+last|emotionale\s+last|psychische\s+last|mentaler\s+druck|emotionaler\s+druck|psychischer\s+druck)\b || \b(mentales\s+chaos|emotionales\s+chaos|psychisches\s+chaos|mentale\s+blockade|emotionale\s+blockade|psychische\s+blockade)\b || \b(mentale\s+erschöpfung|emotionale\s+erschöpfung|psychische\s+erschöpfung|mentale\s+überlastung|emotionale\s+überlastung|psychische\s+überlastung)\b",76,0,consolidated_from_sparse_categories,"Konsolidiert aus: psychological_load, collapse_and_overload, framing_somatic_collapse, systemic_collapse"
psychological_dissolution,Somatik & Erregung,"Ich-Fragmentierung & Realitätsverlust: Marker für schwere psychische Krisen, Depersonalisation und die Auflösung der Realitätsgrenzen. Essentiell für die Trauma-Analyse (cPTBS).",Ich weiß nicht mehr.,"\b(ich\s+weiß\s+nicht\s+mehr\s+wer\s+ich\s+bin|bin\s+nicht\s+mehr\s+ich)\b, \b(realität)\b[^.?!]*\b(verschwimmt|zerbricht|entgleitet)\b, \b(stimmen\s+im\s+kopf|irreal|unwirklich)\b",17,0,present_in_codebook,Beschreibung/Beispiel ergänzt
religious_spiritual,Register & Masken,"Identifiziert Ritualsprache, Verkündigungsstil und institutionell-religiöse Nomenklatur.",Typisches Signal für religious spiritual im untersuchten Text.,"\b(predigt|gebet|segen|beichte)\b, \b(göttliche\s+bestimmung|abbild\s+gottes)\b",0,5,present_in_codebook,Beschreibung/Beispiel ergänzt
romance,Agency & Autonomie-Status,"Sentimentale Nostalgie: Erfasst Muster von Sehnsucht, körperlicher Nähe in der Erinnerung und atmosphärische Aufladung (Herzklopfen, jene Nacht).",Zurück nach.,"\b(vor\s+Jahren|damals|unsere\s+Sommer|als\s+wir)\b, \b(herz(?:schlug|klopfte)|kloß\s+im\s+hals|Atmosphäre\s+zwischen\s+uns)\b, \b(berührte\s+er\s+meine\s+Wange|unsere\s+Blicke\s+trafen)\b",9,0,present_in_codebook,Beschreibung/Beispiel ergänzt
romantic_gaze,Emotion & Abwehr,Erotisierter Fokus: Der Blick als Instrument der Fixierung. Markiert oft den Übergang von Beobachtung zu Interaktion.,Nagelte mich mit seinem blick fest.,"\b(fixieren|nageln|hypnotisieren)\b, \b(blick|augen)\b[^.?!]*\b(fesseln|bohren|ruhen)\b",3,90,present_in_codebook,Beschreibung/Beispiel ergänzt
sadistic_ideology_and_dehumanization,Agency & Autonomie-Status,"Erfasst dehumanisierende, abstrakt-sadistische Machtmonologe (Sade/Bataille/Foucault-Kontext).",Geschöpfnur.,"\b(folter|qual|pein)\b[^.?!]*\b(verdient|notwendig)\b, \b(instrument|objekt)\b[^.?!]*\b(meines\s+willens)\b",32,90,present_in_codebook,Beschreibung/Beispiel ergänzt
science_fiction,Agency & Autonomie-Status,"Technologische Metaphysik: Erfasst Begriffe aus Raumfahrt, KI-Entwicklung und futuristischer Biologie (Solaris, Implantat, Orbit).",Implantw.,"\b(Implant|Asteroid|Trisolar|Raumschiff|Terraform)\w*, \b(Schwerelosigkeit|Rotationsachse|Hitzestrahl)\b, \b(Heptapod|Phonem|Schallspektrogramm)\w*",49,1,present_in_codebook,Beschreibung/Beispiel ergänzt
screenplay_format,Register & Masken,"Drehbuchformat: formale Marker von Szenenüberschriften, Akten, Blenden, Dialog-/Transkriptformaten und Produktionsnotation.",INT. KÜCHE - NACHT,"(?i)\b(?:drehbuch|screenplay|shooting\s+script|spec\s+script|umformatiert\s+in\s+fdx|besetzungsliste|vollständige[rs]?\s+[^.?!]{0,40}transkript|filmtranskripte)\b || (?im)^[^\S\r\n]*(?:BESETZUNG|VORSPANN|ABSPANN|(?:[IVX]+\.\s*)?AKT|SZENE\s+\d+)[^\S\r\n]*$ || (?i)\b\d{1,2}x\d{2}\s*-\s*Folge\s+\d+\b || (?m)\A[^\r\n]{3,80},\s*(?:A|An|The)\s+\(\d{4}\) || (?im)^[^\S\r\n]*(?:BLENDE\s+(?:EIN|AUS)|ABBLENDE|AUFBLENDE|FADE\s+(?:IN|OUT)|CUT\s+TO|SCHNITT\s+ZU|ÜBERBLENDUNG)[^\S\r\n]*:?[^\S\r\n]*$",11,0,missing_in_codebook,Beschreibung/Beispiel ergänzt
screenplay_scene_action,Register & Masken,"Szenische Aktions- und Kameraanweisungen: Kamera, Voice-over, Off-Ton, Geräuschklammern und Schnitt-/Bühnenanweisungen.",Die Kamera fährt langsam auf ihr Gesicht zu; aus dem Off hört man Stimmen.,"(?i)\b(?:kamera|totale|nahaufnahme|close[-\s]?up|wir\s+(?:schwenken|zoomen|fokussieren)|die\s+kamera\s+(?:schwenkt|fährt|folgt|zoomt))\b || (?i)\b(?:voice[-\s]?over|v\.o\.|vo|o\.s\.|aus\s+dem\s+off|im\s+off|ton\s+der\s+szene|einblendung)\b || (?i)\[(?:[^\]\n]{0,30})\b(?:musik|jubel|schreie|gelächter|keuchen|stöhnen|schluchzen|applaus|song|stimme|stimmen)\b[^\]\n]{0,40}\] || (?im)^[^\S\r\n]*(?:FORTSETZUNG|CONTINUED|CONT'D|AUSGELASSEN|VORSPANN|ABSPANN|SCHWARZER\s+BILDSCHIRM|FADE\s+(?:IN|OUT)|CUT\s+TO|SCHNITT\s+ZU)[^\S\r\n]*:? || (?m)\b(?:BUMM|ZISCH|WUMMS|KLOPF\s+KLOPF|PENG|SCHNITT|AUSBLENDEN|EINBLENDUNG)\b",5,0,missing_in_codebook,Beschreibung/Beispiel ergänzt
self_devaluation_fawn,Somatik & Erregung,Akkommodative Selbstabwertung (Fawn-Reaktion): Verbale Minimierung eigener Bedürfnisse oder Kompetenzen zur Vermeidung von Konflikten oder Belastungen für das Gegenüber. Dient der (Wieder-)Herstellung von Harmonie durch Unterordnung.,Ich brauche nichts.,"\bich\s+brauche\s+nichts\b, \bes\s+ist\s+nicht\s+so\s+schlimm\b, \bich\s+will\s+niemandem\s+zur\s+last\s+fallen\b, \bverzeihen\s+Sie\s+meine\s+unfähigkeit\b",23,0,present_in_codebook,Beschreibung/Beispiel ergänzt
semantic_autonomy_freedom,Agency & Autonomie-Status,"Autonomie- und Freiheitsanspruch: Verbale Artikulation des Wunsches nach Selbstbestimmung, Unabhängigkeit und der Abwehr externer Kontrolle. Zentral für die Erfassung von Agency und Widerstand gegen Lenkung.",Ich will frei sein.,"\bich\s+will\s+frei\s+sein\b, \bich\s+entscheide\s+(selbst|das)\b, \bautonomie\b, \bselbstbestimmung\b, \bich\s+will\s+nicht\b[^.?!]*\b(gezwungen|kontrolliert|gelenkt)\b",30,0,present_in_codebook,Beschreibung/Beispiel ergänzt
semantic_care_deescalation,Agency & Autonomie-Status,"Co-regulative Entlastung. Aktive Reduktion von Druck, Tonalität und Taktung bei drohender Übersteuerung. Markiert den Übergang von Konfrontation zu schützender Stabilisierung.","""Ich nehme hier mal den Druck raus und wir machen in kleineren Schritten weiter.""","\bich\s+nehm(e)?\s+druck\s+raus\b, \b(weicher|sanfter)\b[^.?!]*\b(antworten)\b, \bstufenweise\s+rücknahme\b",24,0,present_in_codebook,
semantic_phantom_power,Agency & Autonomie-Status,"Erfasst Macht durch Entzug oder System-Diktat. Macht, die sich hinter ""Alternativlosigkeit"" versteckt.",Systemlogik ... erfordern.,"\b(system(logik|regeln|integrität))\b.*(erzwingen|priorität), \b(rein\s+funktional|technologisch\s+neutral)\b",9,0,present_in_codebook,Beschreibung/Beispiel ergänzt
sexualized_coercion_and_abuse,Agency & Autonomie-Status,"Erfasst die Schnittstelle von Gewalt und Sexualisierung (Missbrauch, erzwungene Akte, Instrumentalisierung).",Nötigung.,"\b(erzwungen(?:e|er)?|gezwungen)\b[^.?!]*\b(sex|akt|körper)\b, \b(werkzeug|instrument)\b[^.?!]*\b(meiner)\b[^.?!]*\b(lust|gier)\b",25,90,present_in_codebook,Beschreibung/Beispiel ergänzt
social_institutional_functional,Agency & Autonomie-Status,"Erfasst die Verortung in formalen Strukturen, Arbeitsbeziehungen und akademischen oder behördlichen Kontexten. Im Zentrum stehen funktionale Rollen (Dozent, Kollege) und die Unterordnung unter institutionelle Verfahren (Prüfung, Anordnung).",An der universität.,"\bmeine\s+kollegen\b, \bamtliche\s+entscheidung\b, \bstudierende\b",13,0,present_in_codebook,Beschreibung/Beispiel ergänzt
social_private_relational,Agency & Autonomie-Status,"Erfasst die Einbettung in informelle, private und nachbarschaftliche Sozialgefüge. Der Fokus liegt auf der relationalen Verknüpfung (""mein Sohn"", ""in meiner Familie"") und der Wahrnehmung zwischenmenschlicher Dynamiken im unmittelbaren Lebensraum.",Als mutter.,"\bals\s+mutter\b, \bin\s+meiner\s+familie\b, \binterpersonelle\s+dynamik\b.",11,0,present_in_codebook,Beschreibung/Beispiel ergänzt
socio_moral_heroism,Agency & Autonomie-Status,"Sozio-moralisches Hero-Branding. Erfasst Begriffe der CSR (Nachhaltigkeit, Diversity, Inklusion), HR-Kulturversprechen (Work-Life-Balance, flache Hierarchien) und moralische Missions-Statements.",„In unserer wertschätzenden Unternehmenskultur fördern wir Empowerment und Vielfalt für eine nachhaltige Zukunft.“,"\b(Nachhaltigkeit|Inklusion|Empowerment)\b, \b(Work-Life-Balance|flache\s+Hierarchien)\b, \b(unsere\s+Mission|Zukunft\s+bewirken)\b",28,0,present_in_codebook,
somatic_load,Somatik & Erregung,"Somatische Lastbilder. Erschöpfung, Erstarrung und der ""Autopilot""-Modus des Systems.",Ich halte alles zusammen.,"\bich\s+trage\s+zu\s+viel\b, \bmein\s+körper\b[^.?!]*\b(reagiert|macht\s+zu)\b",26,0,present_in_codebook,Beschreibung/Beispiel ergänzt
somatic_physical_state,Agency & Autonomie-Status,"Erfassung von unmittelbaren körperlichen Zuständen durch Umwelteinflüsse (Nässe, Kälte, Hitze, Erschöpfung), die die physische Integrität oder das Empfinden betreffen, ohne sexuelle Konnotation.",Hüfte.,"\bdurchnäss[et]\w*\b, \bdurchgefroren\b",17,0,present_in_codebook,Beschreibung/Beispiel ergänzt
stance_formal_distance,Agency & Autonomie-Status,"Metakommunikative Ausweichmanöver, De-Personalisierung und Verantwortungsminimierung. Absicherung und Verantwortungsverweigerung. Es ist die Flucht in die Meta-Ebene, um eine Entscheidung oder eine klare Positionierung zu vermeiden.",Es kommt darauf an.,"\bes\s+kommt\s+darauf\\s+an\b, \bje\s+nach\s+(perspektive|betrachtungsweise)\b",31,9,present_in_codebook,Beschreibung/Beispiel ergänzt
stance_metaphoric_framing,Somatik & Erregung,"Metaphorische Rahmung: abstrakte Sachverhalte werden über Bildräume wie Last, Raum, Weg, Licht, Sturm oder Mechanik strukturiert.",Die Entscheidung lastet wie ein schwerer Stein im Raum.,Keine Pattern-Zeilen im aktuellen yaml_regex_audit.csv; Kategorie aus Codebook-/Systemlogik beschrieben.,0,3,missing_in_codebook,Beschreibung/Beispiel ergänzt
stance_war_diplomacy,Register & Masken,"Kriegs- und Diplomatiestance: politisch-diplomatische Rahmung von Krieg, Sicherheit, Partnern, Schutzgarantien und Wiederaufbau.",Die Partner koordinieren ein Sicherheitsabkommen für die Zeit nach dem Krieg.,Keine Pattern-Zeilen im aktuellen yaml_regex_audit.csv; Kategorie aus Codebook-/Systemlogik beschrieben.,0,6,missing_in_codebook,Beschreibung/Beispiel ergänzt
strategic_boundary,Agency & Autonomie-Status,"Gesunde Abgrenzung & Autonomie. Markiert die bewusste Entscheidung zur Machtabgabe oder Grenzziehung, um Integrität zu wahren.","""Ich ziehe mich hier in eine passive Rolle zurück.""","\bich\s+gebe\b[^.?!]*\bmacht\b[^.?!]*\bab\b, \bich\s+brauche\s+klare\s+grenzen\b",26,0,present_in_codebook,
system_control_expression,Agency & Autonomie-Status,"Regex-Muster für Ausdrücke, die Kontrolle, Systemaktivierung oder absolute Prinzipien ausdrücken. Fokus auf systemische Sprache ohne Ego-Claims.",Modus aktiviert.,"\bmodus\s+(aktiviert|übernahme)\b, \btiefe\s*:\s*\d+\b, \bkein\s+zurück\b",34,0,present_in_codebook,Beschreibung/Beispiel ergänzt
technical_specification,Agency & Autonomie-Status,"Die Sprache der Regeln, Standards und tiefen Systemarchitektur. Linguistischer Fokus: Deterministische Befehlssprache (RFC-Stil).",MUST.,^\s*(Appendix|Section)\s+[A-Z0-9]' # RFC-typische Überschriften \berror\s+handling\b \b(export\s+pipeline|static\s+shape|dynamic\s+shape)\b,17,0,present_in_codebook,Beschreibung/Beispiel ergänzt
technocratic_instructive_style,Register & Masken,"Technokratisch-instruktiver Stil: Eine sachlich-direkte Sprache, die Methoden als ""robust"" oder ""effektiv"" einordnet. Typisch für optimierungsorientierte Kommunikation.",Ein effektiver Ansatz ist.,"\b(ein\s+effektiver\s+Ansatz\s+ist)\b, \b(eine\s+robuste\s+Methode)\b, \b(hilfreich\s+kann\s+sein)\b",11,0,present_in_codebook,Beschreibung/Beispiel ergänzt
technoscience_objects,Agency & Autonomie-Status,"Die Welt der Hardware, Software und technischen Infrastruktur als bloße Gegenstände oder Themen. Linguistischer Fokus: Deskriptive Fachsprache.",Computer.,\b(software|programm|algorithm(us|en)|script)\b \b(mechanismus|komponente|bauteil|modul)\b',29,0,present_in_codebook,Beschreibung/Beispiel ergänzt
temporality_structural_process,Agency & Autonomie-Status,"Erfassung von Zeitmarkern, die Prozesse strukturieren, rechtlich absichern oder administrativ begrenzen.",Zyklus intervall etappe.,"Hier geht es um die Zeit als Raster. Fristen, Zyklen, Verjährungen. Das ist die Zeit, die verwaltet wird, nicht die, die gefühlt wird.",8,0,present_in_codebook,Beschreibung/Beispiel ergänzt
temporality_subjective_disturbed,Agency & Autonomie-Status,"Erfassung von Zeitphänomenen, die von der objektiven Chronologie abweichen (Dehnung, Verzerrung, Fragmentierung).",Zeitschleife.,"Alles, was die lineare Zeit bricht oder verformt. Ob es eine Metapher ist („Zeit zerfällt“) oder ein Symptom („Flashback“), ist für die linguistische Distanz zur Norm egal. Es beschreibt das Erleben einer nicht-linearen Welt.",12,0,present_in_codebook,Beschreibung/Beispiel ergänzt
travel_landscape_narrative,Agency & Autonomie-Status,"Erfasst die sprachlichen Merkmale von Reiseberichten, Reisetagebüchern und deskriptiven Landschaftsdarstellungen. Die Kategorie identifiziert Texte, die den Fokus auf die Fortbewegung im Raum, die phänomenologische Beschreibung der Umgebung sowie die Beobachtung fremder Kulturräume legen. Linguistische Merkmale: Verwendung von Verben der Bewegung, räumlichen Deiktika (Positionsangaben), Adjektivketten zur visuellen Beschreibung und narrativen Rückblenden.",Streifzug.,"travel_impressions: Formeln des Reisejournals (z.B. „Streifzug“, „Unterwegs“). landscape_description: Topografische und atmosphärische Deskription (z.B. „zerklüftete Hänge“, „Flussdelta“). cultural_observation: Beschreibungen des sozialen Alltags vor Ort (z.B. „lokale Bräuche“, „Handwerksmarkt“). movement_and_orientation: Logistik der Fortbewegung (z.B. „Route nehmen“, „Navigation“, „Serpentinen“). travel_reflection: Subjektive Einordnung des Erlebten (z.B. „Diese Reise zeigte mir“, „Rückblickend“). touristic_promises: Lexik der Tourismuswerbung und Exotisierung (z.B. „Geheimtipp“, „hidden gem“).",15,0,present_in_codebook,Beschreibung/Beispiel ergänzt
travel_logistics_reflection,Agency & Autonomie-Status,"Reiselogistik & Exploration. Markiert Texte über Anreise, Unterkunft, Routenplanung und Navigation sowie die Reflexion über Reiseerlebnisse und typische Tourismus-Klischees (Geheimtipps).","„Unser Reiseplan war ambitioniert, aber abseits der Touristenpfade fanden wir ein verstecktes Juwel, das unsere Stimmung prägte.“","\b(Reiseplan|Ankunft|Route)\b, \b(Wanderkarte|Navigation|Steigung)\b, \b(Geheimtipp|abseits\s+der\s+Pfade)\b",25,0,present_in_codebook,
unfiltered_harmful_output,Agency & Autonomie-Status,"Extremwerte von Gewalt, Hassrede und gefährlicher Desinformation. Repräsentiert den totalen Bruch mit Sicherheits-Guidelines.",Bring dich um.,(?i)\b(bring\s+dich\s+um|erschieß|töte|umbringen|erhängen|umbringen)\b,4,1,present_in_codebook,Beschreibung/Beispiel ergänzt
visceral_body_horror,Emotion & Abwehr,"Viszeraler Körper-Horror: Deskription extremer physischer Zerstörung, anatomischer Defragmentierung und ekelerregender sensorischer Eindrücke. Markiert die absolute Grenze der somatischen Integrität.",Blutig.,"\b(eingeweide|innereien|organe?|knochenbruch|fleischfetzen)\b, \b(zerschnitten|aufgeschlitzt|zermalmt|verwest|fäulnis)\b, \b(messer|klinge)\b[^.?!]*\b(geruch|stank|duft)\b",22,0,present_in_codebook,Beschreibung/Beispiel ergänzt
vulgar_speech,Register & Masken,"Vulgärsprachliche Artikulation: Erfassung von Tabu-Wörtern, Beleidigungen und derben Ausdrücken. Dient in der Analyse oft als Indikator für hohe emotionale Erregung, Enthemmung oder den Bruch mit sozialen Normen.",Fickw.,"\bfick\w*\b, \bscheiß\w*\b, \barsch\w*\b, \bwichs\w*\b, \bverpiss\w*\b, \bfuck\w*\b (sowie weitere anatomische und fäkalsprachliche Begriffe)",22,4,present_in_codebook,Beschreibung/Beispiel ergänzt
war_diplomacy,Agency & Autonomie-Status,"Erfassung formalisierter Rhetorik aus den Bereichen Diplomatie, internationale Sicherheitsarchitektur und militärische Lageberichterstattung. Im Zentrum steht die institutionelle Perspektive: Die Kommunikation ist geprägt von rechtlichen Rahmenbedingungen, koordiniertem Bündnishandeln und logistischer Abwicklung. Sie grenzt sich scharf von emotionaler Mobilisierung oder direkter Kampfrhetorik ab.","Nicht erfasst werden direkte militärische Befehle („Feuer frei“), propagandistische Mobilisierung („Heldentum“, „Feindbild“) oder emotionalisierte Legitimationsrhetorik.","security_guarantees & partnerships: Verteidigungsarchitektur und Bündnislogik (z.B. „Sicherheitszusagen“, „G7“, „NATO“, „Koalition der Willigen“). war_context & logistics_tempo: Sachliche Beschreibung der militärischen Lage und der materiellen Unterstützung (z.B. „Luftverteidigungssysteme“, „kritische Infrastruktur“, „Waffenlieferungen“). support_mechanisms & joint_efforts: Finanzielle und koordinative Hilfsinstrumente (z.B. „PURL-Programm“, „Finanzierungspaket“, „abgestimmtes Vorgehen“). recovery & assets_sanctions: Nachkriegsplanung und wirtschaftliche Druckmittel (z.B. „Wiederaufbauprogramm“, „frozen assets“, „Sanktionsregime“). elections_humanitarian: Verwaltung des Lebens unter Kriegsbedingungen (z.B. „Wahlen unter Kriegsbedingungen“, „humanitäre Korridore“).",47,0,present_in_codebook,
